Model,Pearson_r,R2,RMSE,MAE
KDM (Test Set),0.8456797079722411,0.6024850685959169,11.628904280936629,8.595229037892702
PCA-Dubina (Test Set),0.7491501564657442,0.18587867625109222,16.64204292033353,12.329795979289342
Elastic Net (Test Set),0.6415112513121027,0.4114926066990211,14.1494003297235,11.507398685296755
Random Forest (Test Set),0.7189239107298986,0.5162577682962448,12.828299022963689,10.206880644703762
XGBoost (Test Set),0.7286024833487701,0.5308612585067749,12.633180290912312,10.002317428588867
Ensemble (Median),0.7650084138895855,0.5852002857833725,11.879038693094058,9.405987719254732
